health_state,utility,setting,funding
Colorectal cancer: progressive / late stage,0.25,United States,GovernmentFoundationPharm Or DeviceOther
Colorectal cancer: progression-free / early stage,0.74,United States,GovernmentFoundationPharm Or DeviceOther
Colorectal cancer: progressive / late stage,0.59,United States,GovernmentFoundationPharm Or DeviceOther
Colorectal cancer: progressive / late stage,0.65,China,None
Colorectal cancer: progression-free / early stage,0.85,China,None
Breast cancer: progression-free / early stage,0.9,Iran,None
Breast cancer: progression-free / early stage,0.8,Iran,None
Breast cancer: progressive / late stage,0.7,Iran,None
Breast cancer: progressive / late stage,0.3,Iran,None
Lung cancer: progression-free / early stage,0.62,Australia,GovernmentOther
Lung cancer: progressive / late stage,0.46,Australia,GovernmentOther
Lung cancer: progressive / late stage,0.47,China,Pharm Or Device
Lung cancer: progression-free / early stage,0.65,China,Pharm Or Device
Breast cancer: progressive / late stage,0.65,United Kingdom,Foundation
Hepatitis C: chronic infection,0.875,Italy,None
Hepatitis C: chronic infection,0.86,Italy,None
Compensated cirrhosis,0.877,Italy,None
Compensated cirrhosis,0.848,Italy,None
Compensated cirrhosis,0.833,Italy,None
Hepatitis C: chronic infection,0.904,Italy,None
Decompensated cirrhosis,0.848,Italy,None
Hepatitis B: chronic infection,0.87,United Kingdom,Government
Compensated cirrhosis,0.81,United Kingdom,Government
Decompensated cirrhosis,0.49,United Kingdom,Government
CVD: mild (Rankin 0-1),0.6151,Greece,Pharm Or Device
CVD: moderate (Rankin 2-3),0.5646,Greece,Pharm Or Device
CVD: severe (Rankin 4-5),0.5142,Greece,Pharm Or Device
Breast cancer: progressive / late stage,0.48,United States,Government
Breast cancer: progressive / late stage,0.37,United States,Government
Breast cancer: progressive / late stage,0.29,United States,Government
Breast cancer: progressive / late stage,0.65,United States,Government
COPD: mild to moderate,0.73,Sweden,Pharm Or Device
COPD: exacerbation,0.72,Sweden,Pharm Or Device
COPD: exacerbation,0.73,Sweden,Pharm Or Device
COPD: exacerbation,0.51,Sweden,Pharm Or Device
COPD: severe to very severe,0.74,Sweden,Pharm Or Device
COPD: exacerbation,0.69,Sweden,Pharm Or Device
COPD: exacerbation,0.7,Sweden,Pharm Or Device
COPD: exacerbation,0.49,Sweden,Pharm Or Device
COPD: severe to very severe,0.52,Sweden,Pharm Or Device
Past M.I. (<1 year),0.58,China,Government
Past M.I. (<1 year),0.94,China,Government
Stable angina,0.91,China,Government
"Alzheimer's: mild, independent living",0.71,Spain,Pharm Or Device
"Alzheimer's: severe, not independent",0.51,Spain,Pharm Or Device
"Alzheimer's: severe, not independent",0.34,Spain,Pharm Or Device
Past M.I. (<1 year),0.87,Canada,GovernmentFoundationHealth Care
